线路号: 1112
车辆编号	驾驶员编号
9051.0		2289
9052.0		26
9053.0		1862
9054.0		923
9056.0		38
9057.0		1835
9058.0		1720
9059.0		2294
9060.0		101
9061.0		138
9063.0		79
9064.0		2003
9065.0		2246
9066.0		2009
9067.0		128
9068.0		67
9069.0		14
9070.0		2001
9071.0		66
9073.0		64
9074.0		163
9075.0		2006
9076.0		91
9077.0		2245
9078.0		2005
9079.0		116
9080.0		70
9081.0		1884
9082.0		1630
9083.0		1631
9084.0		2290
9085.0		2367
9086.0		2536
9087.0		2533
9088.0		98
9089.0		1863
9090.0		2360
9091.0		28
9092.0		2535
9093.0		2358
9096.0		1845
9097.0		1377
9098.0		1015
9099.0		76
9100.0		123
9101.0		2538
9102.0		180
9118.0		918
9119.0		2366
9120.0		1069
9121.0		34
9122.0		905
9123.0		2376
9124.0		2244
9125.0		160
9126.0		1614
9269.0		1998
9270.0		2000
