线路号: 1115
车辆编号	驾驶员编号
1198.0		1647
1199.0		818
1200.0		2355
1201.0		2351
1202.0		2349
1203.0		2347
1204.0		813
1205.0		767
1206.0		1267
1207.0		1665
1208.0		1162
1209.0		1185
1210.0		853
1212.0		1215
1213.0		885
1214.0		1170
1216.0		1824
1217.0		1205
1218.0		1952
1219.0		1924
1220.0		1407
1221.0		1165
1222.0		806
1223.0		874
1224.0		1822
1225.0		1788
1226.0		1823
1227.0		2158
1228.0		868
1229.0		1716
1230.0		1557
1231.0		1358
1233.0		2078
1234.0		1951
1236.0		877
1237.0		1942
1238.0		1193
1239.0		1381
1241.0		799
1242.0		2398
1243.0		2156
1244.0		1962
1245.0		1382
1246.0		2075
1247.0		1268
1248.0		1960
1249.0		361
1251.0		2188
1252.0		1961
7124.0		2397
7125.0		884
7126.0		2159
7128.0		1963
7130.0		1208
7131.0		888
7132.0		1408
7133.0		840
7134.0		1554
10063.0		1173
10064.0		878
