线路号: 1106
车辆编号	驾驶员编号
9001.0		280
9002.0		230
9003.0		297
9004.0		1448
9005.0		235
9006.0		250
9007.0		268
9009.0		1445
9010.0		269
9011.0		254
9012.0		318
9013.0		249
9014.0		282
9015.0		216
9016.0		1447
9018.0		1282
9019.0		233
9022.0		1542
9023.0		1452
9025.0		1974
9026.0		308
9028.0		1512
9029.0		1982
9030.0		276
9031.0		267
9032.0		1286
9033.0		246
9035.0		252
9036.0		1986
9037.0		1553
9038.0		256
9040.0		214
9041.0		225
9042.0		1964
9043.0		215
9044.0		1987
9046.0		222
100000000.0		1286
