线路号: 1114
车辆编号	驾驶员编号
10053.0		1918
10054.0		1584
10055.0		1579
10056.0		2084
10057.0		1112
10058.0		978
10059.0		1910
10060.0		1362
10061.0		989
10062.0		1645
10083.0		941
10084.0		2266
10085.0		2083
10086.0		1589
10087.0		904
10088.0		2102
10089.0		970
10090.0		940
10092.0		1891
10093.0		1710
10095.0		1375
10096.0		948
10097.0		2302
10098.0		945
10099.0		1868
10100.0		1911
10101.0		1336
10102.0		1000
10103.0		1021
10105.0		953
10107.0		1109
10108.0		1056
10109.0		2041
10110.0		1712
10111.0		2165
10112.0		924
10113.0		1917
10114.0		2106
10115.0		988
10117.0		964
10119.0		2087
10120.0		1535
10121.0		930
10122.0		2104
10123.0		1346
10124.0		1418
10125.0		1919
10126.0		1575
10127.0		956
10128.0		2304
10129.0		1668
10130.0		2208
10131.0		894
10133.0		902
10134.0		1588
