线路号: 1103
车辆编号	驾驶员编号
3025.0		2456
3026.0		1158
3027.0		686
3028.0		695
3029.0		2526
3031.0		2378
3032.0		742
3033.0		1833
3034.0		685
3035.0		1391
3036.0		1313
3037.0		1465
3038.0		707
3039.0		1702
3040.0		723
3041.0		1159
3043.0		2171
3044.0		1479
3045.0		1090
3046.0		2384
3047.0		2379
3050.0		606
3051.0		1867
3054.0		2381
3055.0		2455
3056.0		728
3057.0		648
3059.0		2525
3061.0		1390
3062.0		2260
3063.0		1297
3064.0		1422
3066.0		1384
3070.0		644
