线路号: 1104
车辆编号	驾驶员编号
4055.0		1426
4056.0		2152
4057.0		797
4058.0		319
4061.0		775
4062.0		778
4063.0		1236
4065.0		1887
4066.0		1212
4068.0		1402
4069.0		850
4070.0		800
4071.0		395
4072.0		1938
4073.0		791
4074.0		353
4075.0		1217
4076.0		788
4077.0		2111
4079.0		1940
4080.0		1929
4081.0		837
4082.0		789
7135.0		2187
7136.0		1214
7138.0		386
7139.0		2353
7140.0		2462
7141.0		2153
7142.0		1842
7143.0		787
7144.0		1175
7146.0		1188
7147.0		1566
7148.0		1437
7149.0		1428
7150.0		795
7151.0		1432
7152.0		812
7155.0		386
7156.0		773
7158.0		847
7159.0		2400
7162.0		1211
7163.0		831
7164.0		2157
