线路号: 1111
车辆编号	驾驶员编号
1001.0		687
1002.0		1051
1003.0		2254
1004.0		1070
1005.0		603
1006.0		2249
1007.0		1161
1008.0		1518
1009.0		1055
1010.0		756
1011.0		1768
1012.0		1723
1013.0		651
1014.0		2250
1016.0		1896
1016.0		1073
1018.0		2248
1019.0		1778
1020.0		1701
1021.0		954
1023.0		726
1024.0		1901
1025.0		1753
9230.0		1070
10064.0		2098
10065.0		1087
10066.0		1763
10067.0		2329
10068.0		2279
10069.0		2427
10070.0		2429
10073.0		1423
10074.0		1047
10075.0		1895
10076.0		2096
10135.0		1764
10137.0		2286
10138.0		2431
10139.0		1722
10140.0		2095
10141.0		1045
