线路号: 1105
车辆编号	驾驶员编号
2112.0		542
2113.0		1990
2113.0		21
2114.0		507
2114.0		444
2115.0		561
2116.0		538
2117.0		2069
2117.0		479
2118.0		440
2118.0		1495
2119.0		2210
2119.0		481
2120.0		488
2120.0		490
2121.0		503
2121.0		1691
2122.0		2052
2122.0		566
2123.0		1679
2124.0		451
2125.0		428
2126.0		502
2127.0		7
2129.0		2234
2130.0		596
2133.0		447
2134.0		463
2137.0		2029
2138.0		1498
2139.0		1684
2140.0		468
2140.0		2200
2142.0		531
2143.0		579
2143.0		2227
2144.0		2209
2146.0		437
21410000.0		2031
