线路号: 1107
车辆编号	驾驶员编号
1152.0		1228
1154.0		733
1154.0		2125
1155.0		1224
1155.0		708
1156.0		2454
1156.0		622
1157.0		734
1158.0		1524
1158.0		2128
1159.0		1511
1159.0		1296
1160.0		2382
1160.0		752
1161.0		2446
1161.0		2120
1162.0		1385
1162.0		2388
1163.0		2502
1163.0		632
1164.0		698
1164.0		604
1165.0		617
1165.0		2261
1167.0		636
1169.0		2388
1169.0		2258
1171.0		652
1172.0		2387
1173.0		747
1173.0		661
1174.0		567
1174.0		735
1175.0		1832
1176.0		716
1177.0		717
1179.0		1387
1180.0		2169
1180.0		2447
1181.0		639
1181.0		671
1182.0		664
1183.0		1392
1184.0		1839
1184.0		694
1185.0		1522
1186.0		2528
1187.0		727
1188.0		2457
1189.0		2506
1190.0		620
1191.0		2509
1192.0		2122
1193.0		592
1194.0		719
1194.0		2175
1195.0		2541
1195.0		699
9062.0		2447
