线路号: 1118
车辆编号	驾驶员编号
2029.0		539
2030.0		489
2031.0		1132
2032.0		2071
2033.0		522
2034.0		506
2035.0		446
2037.0		6
2038.0		584
2040.0		2070
2041.0		435
2042.0		489
2042.0		448
2043.0		8
2044.0		541
2045.0		491
2046.0		2438
2047.0		1680
2048.0		12
2049.0		1
2050.0		2223
2051.0		78
2053.0		2441
2054.0		565
2055.0		1510
2056.0		59
2057.0		449
2058.0		583
2059.0		1503
2060.0		2217
2061.0		515
2062.0		2224
2063.0		552
2064.0		537
2065.0		433
2066.0		2148
2067.0		2040
2109.0		1791
2110.0		2057
2111.0		570
9222.0		1791
11001200.0		2040
